               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.066385,            0.027017,           0.0043005,             0.51396,                 0.1,            0.062213,            0.022413,            0.066196,            0.019463,           0.0040649,            0.007756,            0.007756,            0.007756
                  70,             0.07003,            0.030338,           0.0046393,             0.51396,                 0.1,            0.062213,            0.022413,            0.066196,            0.019463,           0.0040649,            0.007723,            0.007723,            0.007723
                  71,            0.064763,            0.028277,           0.0044859,             0.53499,                 0.2,            0.079708,            0.025989,            0.065197,            0.019955,           0.0040314,             0.00769,             0.00769,             0.00769
                  72,            0.065563,             0.03121,           0.0041006,             0.53499,                 0.2,            0.079708,            0.025989,            0.065197,            0.019955,           0.0040314,            0.007657,            0.007657,            0.007657
                  73,             0.05985,            0.028223,           0.0038494,             0.53462,                 0.2,             0.18224,            0.068668,            0.060711,            0.020916,           0.0035614,            0.007624,            0.007624,            0.007624
                  74,            0.055565,            0.027921,           0.0032028,             0.53462,                 0.2,             0.18224,            0.068668,            0.060711,            0.020916,           0.0035614,            0.007591,            0.007591,            0.007591
                  75,            0.058849,            0.022488,            0.003575,             0.54202,                 0.2,             0.27293,            0.068014,            0.065629,            0.019775,           0.0030922,            0.007558,            0.007558,            0.007558
                  76,            0.061081,               0.026,            0.004362,             0.54202,                 0.2,             0.27293,            0.068014,            0.065629,            0.019775,           0.0030922,            0.007525,            0.007525,            0.007525
                  77,            0.059651,            0.034866,           0.0038583,              0.5421,                 0.2,             0.28667,            0.079749,            0.067831,            0.019512,           0.0028954,            0.007492,            0.007492,            0.007492
                  78,            0.065075,            0.030206,           0.0041775,              0.5421,                 0.2,             0.28667,            0.079749,            0.067831,            0.019512,           0.0028954,            0.007459,            0.007459,            0.007459
                  79,            0.060987,            0.037797,           0.0033366,             0.55628,                 0.2,             0.19252,             0.07118,            0.061969,            0.020802,           0.0031334,            0.007426,            0.007426,            0.007426
                  80,            0.058875,            0.030332,           0.0030809,             0.55628,                 0.2,             0.19252,             0.07118,            0.061969,            0.020802,           0.0031334,            0.007393,            0.007393,            0.007393
                  81,             0.06258,            0.025031,           0.0042463,             0.56447,                 0.3,             0.11645,            0.039891,            0.060007,            0.020985,           0.0030983,             0.00736,             0.00736,             0.00736
                  82,            0.060928,             0.02193,           0.0032882,             0.56447,                 0.3,             0.11645,            0.039891,            0.060007,            0.020985,           0.0030983,            0.007327,            0.007327,            0.007327
                  83,            0.056707,            0.025626,           0.0027725,             0.55157,                 0.3,             0.12173,            0.038009,            0.061776,            0.020592,           0.0031143,            0.007294,            0.007294,            0.007294
                  84,            0.063314,            0.028469,           0.0040293,             0.55157,                 0.3,             0.12173,            0.038009,            0.061776,            0.020592,           0.0031143,            0.007261,            0.007261,            0.007261
                  85,            0.054245,            0.023894,           0.0028395,             0.55244,                 0.2,              0.1344,            0.041196,            0.059124,            0.021046,           0.0031044,            0.007228,            0.007228,            0.007228
                  86,            0.058764,            0.034959,           0.0032188,             0.55244,                 0.2,              0.1344,            0.041196,            0.059124,            0.021046,           0.0031044,            0.007195,            0.007195,            0.007195
                  87,            0.060128,            0.027215,           0.0042542,             0.55147,                 0.3,             0.11152,            0.039052,            0.060367,            0.021061,           0.0028297,            0.007162,            0.007162,            0.007162
                  88,            0.057107,            0.034901,           0.0033443,             0.55147,                 0.3,             0.11152,            0.039052,            0.060367,            0.021061,           0.0028297,            0.007129,            0.007129,            0.007129
                  89,            0.058604,            0.025169,           0.0029169,             0.55082,                 0.4,             0.14029,            0.051971,            0.057431,            0.021469,           0.0026176,            0.007096,            0.007096,            0.007096
                  90,             0.05958,            0.023275,           0.0025815,             0.55082,                 0.4,             0.14029,            0.051971,            0.057431,            0.021469,           0.0026176,            0.007063,            0.007063,            0.007063
                  91,            0.056154,            0.031512,            0.002871,             0.53352,                 0.2,             0.13329,            0.048583,            0.056213,              0.0215,           0.0026844,             0.00703,             0.00703,             0.00703
                  92,            0.052693,            0.037412,           0.0026479,             0.53352,                 0.2,             0.13329,            0.048583,            0.056213,              0.0215,           0.0026844,            0.006997,            0.006997,            0.006997
                  93,            0.054815,            0.024057,           0.0022796,             0.58248,                 0.3,             0.18938,            0.074902,            0.061349,            0.020107,           0.0027523,            0.006964,            0.006964,            0.006964
                  94,            0.051725,            0.027077,           0.0029336,             0.58248,                 0.3,             0.18938,            0.074902,            0.061349,            0.020107,           0.0027523,            0.006931,            0.006931,            0.006931
                  95,            0.058302,              0.0209,           0.0025731,             0.66113,                 0.3,              0.2193,            0.065143,            0.065602,            0.019127,           0.0027424,            0.006898,            0.006898,            0.006898
